s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
2280,2011-12-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,2,
2281,2012-01-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,2,
2282,2012-02-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,4,
2283,2012-03-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,4,
2284,2012-04-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2285,2012-05-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2286,2012-06-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2287,2012-07-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2288,2012-08-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2289,2012-09-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2290,2012-10-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2291,2012-11-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2292,2012-12-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2293,2013-01-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,4,
2294,2013-02-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,2,
2295,2013-03-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2296,2013-04-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2297,2013-05-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2298,2013-06-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2299,2013-07-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2300,2013-08-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2301,2013-09-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2302,2013-10-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2303,2013-11-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2304,2013-12-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2305,2014-01-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2306,2014-02-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2307,2014-03-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2308,2014-04-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2309,2014-05-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2310,2014-06-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2311,2014-07-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2312,2014-08-01,"Balochistan Museum, Quetta",Balochistan,Museum,Foreigner,0,
2313,2009-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,15775,
2314,2009-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,15287,
2315,2009-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,16386,
2316,2009-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,14866,
2317,2009-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8284,
2318,2009-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,7786,
2319,2009-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,10179,
2320,2009-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8267,
2321,2009-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8508,
2322,2009-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,17955,
2323,2009-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,18410,
2324,2009-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,17347,
2325,2010-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,16520,
2326,2010-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,9259,
2327,2010-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,9452,
2328,2010-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8253,
2329,2010-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,3611,
2330,2010-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8449,
2331,2010-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,9837,
2332,2010-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,6275,
2333,2010-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,6543,
2334,2010-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,9570,
2335,2010-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,17063,
2336,2010-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,10569,
2337,2011-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,7571,
2338,2011-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,14162,
2339,2011-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,14548,
2340,2011-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,14296,
2341,2011-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,11814,
2342,2011-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,11789,
2343,2011-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,15204,
2344,2011-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,4403,
2345,2011-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,19355,
2346,2011-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,17799,
2347,2011-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,6003,
2348,2011-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,14437,
2349,2012-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,6289,
2350,2012-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,10791,
2351,2012-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,19355,
2352,2012-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,12533,
2353,2012-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,7283,
2354,2012-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,11989,
2355,2012-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8303,
2356,2012-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,15500,
2357,2012-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8090,
2358,2012-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,16800,
2359,2012-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,10000,
2360,2012-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,10500,
2361,2013-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,18550,
2362,2013-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,17400,
2363,2013-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,16612,
2364,2013-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,13674,
2365,2013-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,9194,
2366,2013-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8422,
2367,2013-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,4814,
2368,2013-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,13130,
2369,2013-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,3670,
2370,2013-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,8107,
2371,2013-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,5120,
2372,2013-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,5400,
2373,2014-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,3500,
2374,2014-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,5000,
2375,2014-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,7100,
2376,2014-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,7800,
2377,2014-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,6000,
2378,2014-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,5487,
2379,2014-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,33000,
2380,2014-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,National,15300,
2381,2009-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,25,
2382,2009-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,20,
2383,2009-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,26,
2384,2009-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,48,
2385,2009-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,22,
2386,2009-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,13,
2387,2009-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,26,
2388,2009-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,18,
2389,2009-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,20,
2390,2009-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,23,
2391,2009-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,45,
2392,2009-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,41,
2393,2010-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,42,
2394,2010-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,21,
2395,2010-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,26,
2396,2010-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,31,
2397,2010-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,21,
2398,2010-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,39,
2399,2010-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,29,
2400,2010-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,10,
2401,2010-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,18,
2402,2010-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,31,
2403,2010-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,56,
2404,2010-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,35,
2405,2011-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,16,
2406,2011-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,72,
2407,2011-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,90,
2408,2011-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,103,
2409,2011-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,34,
2410,2011-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,36,
2411,2011-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,33,
2412,2011-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,35,
2413,2011-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,20,
2414,2011-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,60,
2415,2011-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,88,
2416,2011-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,42,
2417,2012-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,47,
2418,2012-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,52,
2419,2012-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,45,
2420,2012-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,42,
2421,2012-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,25,
2422,2012-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,56,
2423,2012-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,22,
2424,2012-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,15,
2425,2012-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,11,
2426,2012-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,75,
2427,2012-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,60,
2428,2012-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,75,
2429,2013-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,50,
2430,2013-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,30,
2431,2013-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,35,
2432,2013-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,36,
2433,2013-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,10,
2434,2013-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,7,
2435,2013-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,9,
2436,2013-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,15,
2437,2013-09-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,28,
2438,2013-10-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,38,
2439,2013-11-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,25,
2440,2013-12-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,26,
2441,2014-01-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,25,
2442,2014-02-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,65,
2443,2014-03-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,65,
2444,2014-04-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,60,
2445,2014-05-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,60,
2446,2014-06-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,15,
2447,2014-07-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,15,
2448,2014-08-01,"Tomb of Jahangir, Lahore",Punjab,Heritage Site,Foreigner,16,
2449,2009-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,25359,
2450,2009-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,25800,
2451,2009-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,23065,
2452,2009-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,40703,
2453,2009-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,50707,
2454,2009-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,55654,
2455,2009-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,65050,
2456,2009-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,35369,
2457,2009-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,35306,
2458,2009-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,37983,
2459,2009-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,38900,
2460,2009-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,35440,
2461,2010-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22490,
2462,2010-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,33280,
2463,2010-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,38108,
2464,2010-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,34701,
2465,2010-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,36616,
2466,2010-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,38900,
2467,2010-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,34232,
2468,2010-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,16573,
2469,2010-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,43900,
2470,2010-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22573,
2471,2010-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,23765,
2472,2010-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,43353,
2473,2011-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,27528,
2474,2011-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,33988,
2475,2011-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22565,
2476,2011-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,69141,
2477,2011-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,51109,
2478,2011-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,58800,
2479,2011-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,74930,
2480,2011-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,16544,
2481,2011-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,23312,
2482,2011-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,24478,
2483,2011-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,45686,
2484,2011-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,47840,
2485,2012-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,35560,
2486,2012-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,48480,
2487,2012-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,52541,
2488,2012-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22642,
2489,2012-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,13200,
2490,2012-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,19500,
2491,2012-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,7500,
2492,2012-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,25010,
2493,2012-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,10500,
2494,2012-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,42000,
2495,2012-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,24100,
2496,2012-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,17500,
2497,2013-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,18940,
2498,2013-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,14300,
2499,2013-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22400,
2500,2013-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,34226,
2501,2013-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,33243,
2502,2013-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,32645,
2503,2013-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,14767,
2504,2013-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,18700,
2505,2013-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,2600,
2506,2013-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,55054,
2507,2013-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,18000,
2508,2013-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,22802,
2509,2014-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,18250,
2510,2014-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,14000,
2511,2014-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,6500,
2512,2014-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,4500,
2513,2014-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,5500,
2514,2014-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,4500,
2515,2014-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,38353,
2516,2014-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,National,26104,
2517,2009-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,150,
2518,2009-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,180,
2519,2009-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,115,
2520,2009-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,107,
2521,2009-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,82,
2522,2009-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,46,
2523,2009-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,70,
2524,2009-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,101,
2525,2009-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,65,
2526,2009-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,85,
2527,2009-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,80,
2528,2009-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,55,
2529,2010-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,77,
2530,2010-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,80,
2531,2010-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,97,
2532,2010-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,60,
2533,2010-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,85,
2534,2010-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,80,
2535,2010-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,79,
2536,2010-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,100,
2537,2010-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,10,
2538,2010-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,77,
2539,2010-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,250,
2540,2010-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,124,
2541,2011-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,91,
2542,2011-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,140,
2543,2011-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,130,
2544,2011-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,76,
2545,2011-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,55,
2546,2011-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,75,
2547,2011-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,66,
2548,2011-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,86,
2549,2011-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,57,
2550,2011-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2551,2011-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,95,
2552,2011-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,56,
2553,2012-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,45,
2554,2012-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,50,
2555,2012-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,62,
2556,2012-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,25,
2557,2012-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,45,
2558,2012-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2559,2012-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,25,
2560,2012-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,25,
2561,2012-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,30,
2562,2012-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,35,
2563,2012-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2564,2012-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2565,2013-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2566,2013-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,50,
2567,2013-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,51,
2568,2013-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,124,
2569,2013-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,69,
2570,2013-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,46,
2571,2013-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,69,
2572,2013-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2573,2013-09-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,20,
2574,2013-10-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,102,
2575,2013-11-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,40,
2576,2013-12-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,112,
2577,2014-01-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,102,
2578,2014-02-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,80,
2579,2014-03-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,50,
2580,2014-04-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,55,
2581,2014-05-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,35,
2582,2014-06-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,25,
2583,2014-07-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,50,
2584,2014-08-01,"Shalimar Gardens,Lahore",Punjab,Heritage Site,Foreigner,55,
