s_number,date,site,area,site_type,type_of_visitor,number_of_visitors,note
143,2009-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,270,
144,2009-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,2400,
145,2009-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,400,
146,2009-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,500,
147,2009-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,7050,
148,2009-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,750,
149,2010-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,577,
150,2010-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,185,
151,2010-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,480,
152,2010-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,740,
153,2010-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,400,
154,2010-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,203,
155,2010-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,397,
156,2010-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,1330,
157,2010-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,355,
158,2010-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,607,
159,2010-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,7900,
160,2010-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,565,
161,2011-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,554,
162,2011-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,430,
163,2011-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,526,
164,2011-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,664,
165,2011-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,663,
166,2011-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,740,
167,2011-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,685,
168,2011-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,515,
169,2011-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,715,
170,2011-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,705,
171,2011-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,2140,
172,2011-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,1025,
173,2012-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,510,
174,2012-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,449,
175,2012-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,745,
176,2012-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,610,
177,2012-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,500,
178,2012-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,540,
179,2012-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,500,
180,2012-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,702,
181,2012-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,634,
182,2012-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,714,
183,2012-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,6900,
184,2012-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,670,
185,2013-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,672,
186,2013-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,425,
187,2013-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,425,
188,2013-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,475,
189,2013-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,520,
190,2013-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,528,
191,2013-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,385,
192,2013-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,635,
193,2013-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,520,
194,2013-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,590,
195,2013-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,8175,
196,2013-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,590,
197,2014-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,635,
198,2014-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,685,
199,2014-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,510,
200,2014-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,590,
201,2014-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,400,
202,2014-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,585,
203,2014-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,620,
204,2014-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,National,570,
205,2009-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
206,2009-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,0,
207,2009-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,5,
208,2009-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
209,2009-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
210,2009-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
211,2009-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,0,
212,2009-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,6,
213,2009-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,0,
214,2009-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
215,2009-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,8,
216,2009-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
217,2010-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
218,2010-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,1,
219,2010-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,5,
220,2010-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
221,2010-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
222,2010-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
223,2010-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
224,2010-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
225,2010-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,0,
226,2010-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
227,2010-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,12,
228,2010-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
229,2011-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
230,2011-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
231,2011-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,11,
232,2011-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
233,2011-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
234,2011-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
235,2011-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
236,2011-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
237,2011-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
238,2011-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
239,2011-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
240,2011-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
241,2012-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
242,2012-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
243,2012-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
244,2012-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
245,2012-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
246,2012-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
247,2012-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,1,
248,2012-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
249,2012-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
250,2012-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
251,2012-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,10,
252,2012-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
253,2013-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
254,2013-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
255,2013-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
256,2013-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
257,2013-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
258,2013-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
259,2013-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,2,
260,2013-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
261,2013-09-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
262,2013-10-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
263,2013-11-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,8,
264,2013-12-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
265,2014-01-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
266,2014-02-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
267,2014-03-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
268,2014-04-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,5,
269,2014-05-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
270,2014-06-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
271,2014-07-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,3,
272,2014-08-01,"Allama Iqbal Library & Museum, Sialkot",Punjab,Museum,Foreigner,4,
273,2009-01-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,7470,
274,2009-02-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,6142,
275,2009-03-01,"Taxila Museum, Taxila, Rawalpindi",Punjab,Museum,National,5457,
